,0,1,2
0,n02119789,1,kit_fox
1,n02100735,2,English_setter
2,n02110185,3,Siberian_husky
3,n02096294,4,Australian_terrier
4,n02102040,5,English_springer
5,n02066245,6,grey_whale
6,n02509815,7,lesser_panda
7,n02124075,8,Egyptian_cat
8,n02417914,9,ibex
9,n02123394,10,Persian_cat
10,n02125311,11,cougar
11,n02423022,12,gazelle
12,n02346627,13,porcupine
13,n02077923,14,sea_lion
14,n02110063,15,malamute
15,n02447366,16,badger
16,n02109047,17,Great_Dane
17,n02089867,18,Walker_hound
18,n02102177,19,Welsh_springer_spaniel
19,n02091134,20,whippet
20,n02092002,21,Scottish_deerhound
21,n02071294,22,killer_whale
22,n02442845,23,mink
23,n02504458,24,African_elephant
24,n02092339,25,Weimaraner
25,n02098105,26,soft-coated_wheaten_terrier
26,n02096437,27,Dandie_Dinmont
27,n02114712,28,red_wolf
28,n02105641,29,Old_English_sheepdog
29,n02128925,30,jaguar
30,n02091635,31,otterhound
31,n02088466,32,bloodhound
32,n02096051,33,Airedale
33,n02117135,34,hyena
34,n02138441,35,meerkat
35,n02097130,36,giant_schnauzer
36,n02493509,37,titi
37,n02457408,38,three-toed_sloth
38,n02389026,39,sorrel
39,n02443484,40,black-footed_ferret
40,n02110341,41,dalmatian
41,n02089078,42,black-and-tan_coonhound
42,n02086910,43,papillon
43,n02445715,44,skunk
44,n02093256,45,Staffordshire_bullterrier
45,n02113978,46,Mexican_hairless
46,n02106382,47,Bouvier_des_Flandres
47,n02441942,48,weasel
48,n02113712,49,miniature_poodle
49,n02113186,50,Cardigan
50,n02105162,51,malinois
51,n02415577,52,bighorn
52,n02356798,53,fox_squirrel
53,n02488702,54,colobus
54,n02123159,55,tiger_cat
55,n02098413,56,Lhasa
56,n02422699,57,impala
57,n02114855,58,coyote
58,n02094433,59,Yorkshire_terrier
59,n02111277,60,Newfoundland
60,n02132136,61,brown_bear
61,n02119022,62,red_fox
62,n02091467,63,Norwegian_elkhound
63,n02106550,64,Rottweiler
64,n02422106,65,hartebeest
65,n02091831,66,Saluki
66,n02120505,67,grey_fox
67,n02104365,68,schipperke
68,n02086079,69,Pekinese
69,n02112706,70,Brabancon_griffon
70,n02098286,71,West_Highland_white_terrier
71,n02095889,72,Sealyham_terrier
72,n02484975,73,guenon
73,n02137549,74,mongoose
74,n02500267,75,indri
75,n02129604,76,tiger
76,n02090721,77,Irish_wolfhound
77,n02396427,78,wild_boar
78,n02108000,79,EntleBucher
79,n02391049,80,zebra
80,n02412080,81,ram
81,n02108915,82,French_bulldog
82,n02480495,83,orangutan
83,n02110806,84,basenji
84,n02128385,85,leopard
85,n02107683,86,Bernese_mountain_dog
86,n02085936,87,Maltese_dog
87,n02094114,88,Norfolk_terrier
88,n02087046,89,toy_terrier
89,n02100583,90,vizsla
90,n02096177,91,cairn
91,n02494079,92,squirrel_monkey
92,n02105056,93,groenendael
93,n02101556,94,clumber
94,n02123597,95,Siamese_cat
95,n02481823,96,chimpanzee
96,n02105505,97,komondor
97,n02088094,98,Afghan_hound
98,n02085782,99,Japanese_spaniel
99,n02489166,100,proboscis_monkey
100,n02364673,101,guinea_pig
101,n02114548,102,white_wolf
102,n02134084,103,ice_bear
103,n02480855,104,gorilla
104,n02090622,105,borzoi
105,n02113624,106,toy_poodle
106,n02093859,107,Kerry_blue_terrier
107,n02403003,108,ox
108,n02097298,109,Scotch_terrier
109,n02108551,110,Tibetan_mastiff
110,n02493793,111,spider_monkey
111,n02107142,112,Doberman
112,n02096585,113,Boston_bull
113,n02107574,114,Greater_Swiss_Mountain_dog
114,n02107908,115,Appenzeller
115,n02086240,116,Shih-Tzu
116,n02102973,117,Irish_water_spaniel
117,n02112018,118,Pomeranian
118,n02093647,119,Bedlington_terrier
119,n02397096,120,warthog
120,n02437312,121,Arabian_camel
121,n02483708,122,siamang
122,n02097047,123,miniature_schnauzer
123,n02106030,124,collie
124,n02099601,125,golden_retriever
125,n02093991,126,Irish_terrier
126,n02110627,127,affenpinscher
127,n02106166,128,Border_collie
128,n02326432,129,hare
129,n02108089,130,boxer
130,n02097658,131,silky_terrier
131,n02088364,132,beagle
132,n02111129,133,Leonberg
133,n02100236,134,German_short-haired_pointer
134,n02486261,135,patas
135,n02115913,136,dhole
136,n02486410,137,baboon
137,n02487347,138,macaque
138,n02099849,139,Chesapeake_Bay_retriever
139,n02108422,140,bull_mastiff
140,n02104029,141,kuvasz
141,n02492035,142,capuchin
142,n02110958,143,pug
143,n02099429,144,curly-coated_retriever
144,n02094258,145,Norwich_terrier
145,n02099267,146,flat-coated_retriever
146,n02395406,147,hog
147,n02112350,148,keeshond
148,n02109961,149,Eskimo_dog
149,n02101388,150,Brittany_spaniel
150,n02113799,151,standard_poodle
151,n02095570,152,Lakeland_terrier
152,n02128757,153,snow_leopard
153,n02101006,154,Gordon_setter
154,n02115641,155,dingo
155,n02097209,156,standard_schnauzer
156,n02342885,157,hamster
157,n02097474,158,Tibetan_terrier
158,n02120079,159,Arctic_fox
159,n02095314,160,wire-haired_fox_terrier
160,n02088238,161,basset
161,n02408429,162,water_buffalo
162,n02133161,163,American_black_bear
163,n02328150,164,Angora
